ensembl_gene_id_1	ensembl_gene_id_2	datasets
ENSG00000000419	ENSG00000166333	intact_biogrid
ENSG00000000419	ENSG00000179085	intact_biogrid
ENSG00000000457	ENSG00000092820	intact_biogrid
ENSG00000000457	ENSG00000122218	biogrid_opencell
ENSG00000000457	ENSG00000158623	biogrid_opencell
ENSG00000000457	ENSG00000181789	biogrid_opencell
ENSG00000000457	ENSG00000184432	biogrid_opencell
ENSG00000000938	ENSG00000146648	intact_biogrid
ENSG00000000971	ENSG00000125730	intact_biogrid
ENSG00000001036	ENSG00000127022	biogrid_opencell
ENSG00000001084	ENSG00000023909	intact_biogrid_bioplex
ENSG00000001167	ENSG00000066136	intact_biogrid
ENSG00000001167	ENSG00000101266	intact_biogrid
ENSG00000001167	ENSG00000120837	intact_biogrid
ENSG00000001167	ENSG00000141510	intact_biogrid
ENSG00000001167	ENSG00000162231	biogrid_opencell
ENSG00000001497	ENSG00000065150	biogrid_opencell
ENSG00000001497	ENSG00000107833	biogrid_opencell
ENSG00000001497	ENSG00000181163	biogrid_opencell
ENSG00000001626	ENSG00000047932	intact_biogrid
ENSG00000001626	ENSG00000065054	intact_biogrid
ENSG00000001626	ENSG00000073578	intact_biogrid
ENSG00000001626	ENSG00000077549	intact_biogrid
ENSG00000001626	ENSG00000088726	intact_biogrid
ENSG00000001626	ENSG00000094796	intact_biogrid
ENSG00000001626	ENSG00000101558	intact_biogrid
ENSG00000001626	ENSG00000103194	intact_biogrid
ENSG00000001626	ENSG00000105373	intact_biogrid
ENSG00000001626	ENSG00000105568	intact_biogrid
ENSG00000001626	ENSG00000109062	intact_biogrid
ENSG00000001626	ENSG00000114354	intact_biogrid
ENSG00000001626	ENSG00000115641	intact_biogrid
ENSG00000001626	ENSG00000124164	intact_biogrid
ENSG00000001626	ENSG00000124214	intact_biogrid
ENSG00000001626	ENSG00000125868	intact_biogrid
ENSG00000001626	ENSG00000127022	intact_biogrid
ENSG00000001626	ENSG00000131236	intact_biogrid
ENSG00000001626	ENSG00000131844	intact_biogrid
ENSG00000001626	ENSG00000132256	intact_biogrid
ENSG00000001626	ENSG00000132612	intact_biogrid
ENSG00000001626	ENSG00000135148	intact_biogrid
ENSG00000001626	ENSG00000136986	intact_biogrid
ENSG00000001626	ENSG00000144381	intact_biogrid
ENSG00000001626	ENSG00000159352	intact_biogrid
ENSG00000001626	ENSG00000165637	intact_biogrid
ENSG00000001626	ENSG00000167004	intact_biogrid
ENSG00000001626	ENSG00000171401	intact_biogrid
ENSG00000001626	ENSG00000172354	intact_biogrid
ENSG00000001626	ENSG00000174827	intact_biogrid
ENSG00000001626	ENSG00000181789	intact_biogrid
ENSG00000001626	ENSG00000185721	intact_biogrid
ENSG00000001626	ENSG00000204308	intact_biogrid
ENSG00000001626	ENSG00000213719	intact_biogrid
ENSG00000001631	ENSG00000119185	intact_biogrid
ENSG00000001631	ENSG00000136280	intact_biogrid
ENSG00000002016	ENSG00000051180	intact_biogrid
ENSG00000002016	ENSG00000106399	intact_biogrid
ENSG00000002016	ENSG00000165392	intact_biogrid
ENSG00000002330	ENSG00000108953	intact_biogrid
ENSG00000002330	ENSG00000128245	intact_biogrid
ENSG00000002330	ENSG00000129473	intact_biogrid
ENSG00000002330	ENSG00000134308	intact_biogrid
ENSG00000002330	ENSG00000164924	intact_biogrid
ENSG00000002330	ENSG00000166913	intact_biogrid
ENSG00000002330	ENSG00000170027	intact_biogrid
ENSG00000002330	ENSG00000171552	intact_biogrid
ENSG00000002330	ENSG00000171791	intact_biogrid
ENSG00000002330	ENSG00000175793	intact_biogrid
ENSG00000002822	ENSG00000047410	intact_biogrid
ENSG00000002822	ENSG00000124688	biogrid_bioplex
ENSG00000002822	ENSG00000140416	intact_biogrid
ENSG00000002822	ENSG00000164109	intact_biogrid_bioplex
ENSG00000002822	ENSG00000166170	intact_biogrid
ENSG00000002834	ENSG00000027869	intact_biogrid
ENSG00000003056	ENSG00000125447	intact_biogrid
ENSG00000003096	ENSG00000036257	intact_biogrid
ENSG00000003096	ENSG00000099910	intact_biogrid
ENSG00000003096	ENSG00000121022	intact_biogrid
ENSG00000003096	ENSG00000168090	intact_biogrid
ENSG00000003096	ENSG00000178999	intact_biogrid
ENSG00000003096	ENSG00000198642	intact_biogrid
ENSG00000003393	ENSG00000108953	biogrid_opencell
